catalog_id,category,title,release_date,authors,wiki_url_mmm,download_url_mmm_docman,youtube_longplay_url
EP-070,MMM-Episoden,Episode 070: Maniac Mansion Begins,2007-10-28,MisterL,http://wiki.maniac-mansion-mania.de/wiki/Maniac_Mansion_Begins,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=187,https://www.youtube.com/watch?v=DiApXKVudOM&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=102
EP-071,MMM-Episoden,Episode 071: Neue Abenteuer auf Terra,2007-10-31,Bissiger Witzbold,http://wiki.maniac-mansion-mania.de/wiki/Neue_Abenteuer_auf_Terra,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=188,https://www.youtube.com/watch?v=dewSFWZSJYg&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=104
EP-072,MMM-Episoden,Episode 072: Mindbending TV,2008-06-15,fireorange,http://wiki.maniac-mansion-mania.de/wiki/Mindbending_TV,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=287,https://www.youtube.com/watch?v=rtbghs_s90U&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=105
EP-073,MMM-Episoden,Episode 073: Even a broken clock,2008-09-17,1mal_volltanken,http://wiki.maniac-mansion-mania.de/wiki/Even_a_broken_clock,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=296,https://www.youtube.com/watch?v=Aabp_C8y5DI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=106
EP-074,MMM-Episoden,Episode 074: Ted Edison and the Curse of King Rooten Tooten,2008-10-18,MisterL,http://wiki.maniac-mansion-mania.de/wiki/Ted_Edison_and_the_Curse_of_King_RootenTooten,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=297,https://www.youtube.com/watch?v=tgj9t4-zmmI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=107
EP-075,MMM-Episoden,Episode 075: Das Necronomicon,2008-12-12,Larry Wolf,http://wiki.maniac-mansion-mania.de/wiki/Das_Necronomicon,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=301,https://www.youtube.com/watch?v=9QW5puUvA2A&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=108
EP-076,MMM-Episoden,Episode 076: The Bernoulli-Show,2009-07-10,chamäleon,http://wiki.maniac-mansion-mania.de/wiki/The_Bernoulli-Show,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=330,https://www.youtube.com/watch?v=cpECJzkBemA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=109
EP-077,MMM-Episoden,Episode 077: Schwer verquer,2009-08-05,FrasierCrane,http://wiki.maniac-mansion-mania.de/wiki/Schwer_verquer,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=331,https://www.youtube.com/watch?v=MHdXD6o6fME&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=110
EP-078,MMM-Episoden,Episode 078: Dumm geholfen,2009-10-01,Fatal hoch zwei,http://wiki.maniac-mansion-mania.de/wiki/Dumm_geholfen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=336,https://www.youtube.com/watch?v=c6D-XUvBWGA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=112
EP-079,MMM-Episoden,Episode 079: Der Wunsch-O-Mat,2010-08-22,Siel,http://wiki.maniac-mansion-mania.de/wiki/Der_Wunsch-O-Mat,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=356,https://www.youtube.com/watch?v=2WrMdPK1DtA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=113
EP-080,MMM-Episoden,Episode 080: Spiel des Lebens,2011-01-06,JPJF,http://wiki.maniac-mansion-mania.de/wiki/Spiel_des_Lebens,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=366,https://www.youtube.com/watch?v=WCP6YiR1AyY&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=114
EP-081,MMM-Episoden,Episode 081: Bernard bricht aus!,2011-02-18,JPJF,http://wiki.maniac-mansion-mania.de/wiki/Bernard_bricht_aus,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=369,https://www.youtube.com/watch?v=6FSldSPAH7g&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=116
EP-082,MMM-Episoden,Episode 082: Freundin mit Hindernissen,2011-04-01,JPJF,http://wiki.maniac-mansion-mania.de/wiki/Freundin_mit_Hindernissen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=372,https://www.youtube.com/watch?v=b9GViZptzMU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=117
EP-083,MMM-Episoden,Episode 083: Chasing Hoagie,2011-05-31,mukk,http://wiki.maniac-mansion-mania.de/wiki/Chasing_Hoagie,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=375,https://www.youtube.com/watch?v=SlMhBUbriQA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=118
EP-084,MMM-Episoden,Episode 084: Surf'n'Ronville,2011-06-05,ZAK,http://wiki.maniac-mansion-mania.de/wiki/Surf%22n%22Ronville,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=376,https://www.youtube.com/watch?v=NmNSF41C45g&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=119
EP-085,MMM-Episoden,Episode 085: Freundin mit Hindernissen - Part 2,2011-07-08,JPJF,http://wiki.maniac-mansion-mania.de/wiki/Freundin_mit_Hindernissen_Part_2,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=377,https://www.youtube.com/watch?v=KJt8HV1yOfs&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=121
EP-086,MMM-Episoden,Episode 086: Bernard bekommt Besuch,2011-08-19,Panniban,http://wiki.maniac-mansion-mania.de/wiki/Bernard_bekommt_Besuch,http://www.maniac-mansion-mania.com/index.php/de/component/docman/?task=doc_download&gid=378,https://www.youtube.com/watch?v=o0OV8jW2ArA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=122
EP-087,MMM-Episoden,Episode 087: Das Geheimnis des Blakes Hotel von Ronville,2011-09-24,ZAK,http://wiki.maniac-mansion-mania.de/wiki/Das_Geheimnis_des_Blakes_Hotel,http://www.maniac-mansion-mania.com/index.php/de/component/docman/?task=doc_download&gid=379,https://www.youtube.com/watch?v=xQBkBtvO5bw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=123
